"Type","Metric","Value"
"Mimickers","Maximum",7.64880447642724
"Mimickers","Minimum",2.26126633421691
"Mimickers","Mean",4.32784452762979
"Mimickers","Standard Deviation",1.24295928437931
"Reversers","Maximum",-2.26271811067092
"Reversers","Minimum",-7.77160040142577
"Reversers","Mean",-4.2787640047813
"Reversers","Standard Deviation",1.27276869524691
