"Type","Metric","Value"
"Mimickers","Maximum",7.64880447642724
"Mimickers","Minimum",2.13697722517764
"Mimickers","Mean",4.21272312506103
"Mimickers","Standard Deviation",1.25675635650377
"Reversers","Maximum",-2.13015971714957
"Reversers","Minimum",-7.77160040142577
"Reversers","Mean",-4.17194630599352
"Reversers","Standard Deviation",1.27517023737125
