"Type","Metric","Value"
"Mimickers","Maximum",7.64880447642724
"Mimickers","Minimum",2.75600918802064
"Mimickers","Mean",4.82170775809859
"Mimickers","Standard Deviation",1.20730362428991
"Reversers","Maximum",-2.59634977218679
"Reversers","Minimum",-7.77160040142577
"Reversers","Mean",-4.76947582879197
"Reversers","Standard Deviation",1.26969335365828
