	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_drug	genelabels
1	RPS21	421.033150855128	1.42800425516412	0.142282293740072	9.86641931622382	5.82053659213802e-23	1.14082517205905e-19	TRUE	
2	VIM	645.316557656232	0.647944764171485	0.0976303068956275	6.51677713305573	7.18340311200882e-11	7.03973504976864e-08	TRUE	
3	ANXA2	841.42180213816	0.287215147007077	0.0681763664257905	4.16427547291305	3.12342821997379e-05	0.0204063977038288	TRUE	
4	APIP	29.5032833002055	0.537575658492531	0.138054854219435	4.00069376436613	6.31570478142077e-05	0.0292831932081031	TRUE	
5	MTCH2	113.829703527714	0.340860713211902	0.0877166710737233	3.96079059079891	7.47020234900589e-05	0.0292831932081031	TRUE	
6	TXNL1	52.1070570912232	0.45912095274929	0.122791389134858	3.82886688916811	0.00012873460804535	0.0360456902526979	TRUE	
7	WDR66	40.566929831534	-0.723355861612081	0.181832417738029	-3.83214872440284	0.000127028904227375	0.0360456902526979	TRUE	
8	IFIT2	25.3648288530398	0.600477348694115	0.158820034892391	3.79167721538311	0.000149633316371652	0.0366601625110548	TRUE	
9	AC114801.3	377.995622710806	-0.495370839369781	0.136336727958918	-3.66700448698389	0.000245408490454724	0.043727331026478	TRUE	
10	FTL	2880.61462663922	0.28712991529462	0.0753181898504803	3.694616969719	0.000220218501325502	0.043727331026478	TRUE	
11	PRRG3	121.431911725477	0.360385007077614	0.0945721238908799	3.6894964471707	0.000224698366050687	0.043727331026478	TRUE	
12	NPM1	483.602590153211	0.208815403263038	0.0595344563745603	3.51959011012096	0.000432214188151939	0.0705949840648167	FALSE	
13	HNRNPL	53.1080583434664	-0.580542981556241	0.161973023560111	-3.43654044371611	0.000589194379649814	0.082487213150974	FALSE	
14	PSMB7	115.602445520808	0.302527104097946	0.087208136959148	3.44517449208151	0.000570690858685237	0.082487213150974	FALSE	
15	LGALS1	880.715019912234	0.240372163149683	0.0710982941348594	3.39999584715331	0.00067386876586061	0.0880521854057863	FALSE	
16	LARP1	46.5808690755264	-0.508126684716723	0.149762768803538	-3.32420918045221	0.000886696600916498	0.096551407655352	FALSE	
17	NABP1	150.090213770187	-0.320642350248127	0.0954651082164129	-3.32592993816955	0.000881240763576553	0.096551407655352	FALSE	
18	VDAC2	89.6422129947191	0.332421170365564	0.10044074528736	3.35257128066734	0.000800646215398751	0.096551407655352	FALSE	
19	MYL6	715.740482579055	0.203023964190122	0.0617822648734896	3.30381960631048	0.000953771831803018	0.0983890942281009	FALSE	
20	ISG15	42.2228448194257	0.432241929564495	0.141828498083199	3.26511682472663	0.00109418937372216	0.106261131129171	FALSE	
21	TMSB4X	2931.55728234287	0.241399372061916	0.0742055680247339	3.25385291270368	0.00113851211924111	0.106261131129171	FALSE	
22	DNMT1	69.4304289317774	-0.435784427680493	0.12814834548072	-3.19662431535276	0.0013904589540453	0.12387725226949	FALSE	
23	MYH9	75.838726154742	-0.483116866160148	0.14849047613773	-3.1810577249592	0.00146738387907712	0.125046626217007	FALSE	
24	SLK	25.4797795189549	-0.664749437529408	0.187395298861093	-3.16613358171868	0.00154479834652484	0.126158531632862	FALSE	
25	AC010970.1	58.046993267497	-0.587772622117797	0.197295103281657	-3.13108060292453	0.00174164351854779	0.136544851854147	FALSE	
26	ADAM10	52.8399228177504	-0.431801414142751	0.138972691891402	-3.0806139522309	0.0020657429187644	0.15497531504904	FALSE	
27	CHMP2A	50.661926242018	0.366827503122178	0.119200514759392	3.07079957451284	0.00213486403383882	0.15497531504904	FALSE	
28	ATP5H	115.146901483506	0.254734197389484	0.0850775909241619	3.04719157639972	0.00230990439553373	0.155293813108916	FALSE	
29	MRPL57	159.679330629087	0.273792848355413	0.0925710490893878	3.05733924684484	0.00223311383652315	0.155293813108916	FALSE	
30	RNF168	38.9439443985843	-0.495863295796058	0.163070632429878	-3.03858173984701	0.00237694611901402	0.155293813108916	FALSE	
31	CDCP1	66.5334139480484	-0.404394541374121	0.135353314467616	-3.02329483689388	0.00250038506002867	0.158088861859877	FALSE	
32	MAPRE1	50.8614891762222	0.345694916634665	0.114685416254074	2.98834167618654	0.00280495784519433	0.166597496260027	FALSE	
33	TCHP	35.0117937032641	0.419727556105194	0.148909837085763	2.995745757817	0.00273774591876527	0.166597496260027	FALSE	
34	GALE	47.1328827141875	0.345072912716931	0.122405492427976	2.95289470397022	0.00314809324955066	0.176601496581506	FALSE	
35	MTRNR2L12	2573.33244743057	-0.322750341569554	0.110176420023639	-2.95235531996097	0.00315359815324117	0.176601496581506	FALSE	
36	BTBD9	176.447722661236	-0.434400977886378	0.147917889072883	-2.92486396772871	0.00344606827708939	0.182635592747472	FALSE	
37	MT-ND1	302.149653937005	-0.210075366255922	0.0719149083984047	-2.91882971460595	0.00351348094619481	0.182635592747472	FALSE	
38	PSMB1	284.108800134305	0.212489689751236	0.0744990592285382	2.91640598913064	0.00354089414510404	0.182635592747472	FALSE	
39	MTCO2P2	53.8617902654477	-0.448070964288271	0.145119333751332	-2.89317059955357	0.00381374088409153	0.191664926482549	FALSE	
40	MSMO1	46.4388382811647	0.415248635240849	0.137968592037862	2.85207177346871	0.00434352920736879	0.194258670714886	FALSE	
41	RPL19	609.426960225203	0.173950188122278	0.0612540645756529	2.85522006124308	0.00430070180641382	0.194258670714886	FALSE	
42	SMC1A	56.3108329420005	-0.454564947362276	0.153675504990196	-2.87432562660387	0.00404891279437631	0.194258670714886	FALSE	
43	TMED4	68.6200075733845	-0.385300378533658	0.132100150419044	-2.85080219307876	0.0043609089344158	0.194258670714886	FALSE	
44	UBC	309.458233431176	0.203570926782929	0.0685692676095682	2.85559237215587	0.00429566251414298	0.194258670714886	FALSE	
45	OSTC	127.32609054235	0.260882926666015	0.0916967630439643	2.84112531252647	0.00449546438388365	0.195802448720266	FALSE	
46	ARPC3	192.779540487437	0.232428229121938	0.0821385048036464	2.81963116043317	0.00480788777890162	0.204813561049935	FALSE	
47	UBL5	127.919995993821	0.255977107207824	0.0899646637037669	2.81279169254141	0.00491134559660559	0.204813561049935	FALSE	
48	PPIG	24.08756848753	-0.513246908678909	0.179812980861835	-2.79481286410102	0.00519297656544897	0.208148017740754	FALSE	
49	SSR2	128.881677363677	0.236394587660969	0.0847444207850329	2.79414584311697	0.00520370044351884	0.208148017740754	FALSE	
50	NEDD8	213.320507519081	0.192597361683839	0.0695165759016517	2.78193505465405	0.00540358522217467	0.211820540709247	FALSE	
51	C4orf3	92.0457333591825	0.251986034155155	0.0966020880169887	2.74513403314933	0.00604861882829554	0.225924897771697	FALSE	
52	OSTF1	23.1583147667529	0.428696436201366	0.158478115119127	2.74150488617311	0.00611584511260183	0.225924897771697	FALSE	
53	RPL10A	306.637101628149	0.338763611226242	0.120725679477027	2.74833902214145	0.00598980396459314	0.225924897771697	FALSE	
54	TNRC6B	40.4183742636677	-0.435623452104929	0.162374505274061	-2.73571655888081	0.00622446146922023	0.225924897771697	FALSE	
55	ANKLE2	27.8995154965044	-0.515567189103885	0.182036097331934	-2.72372714357357	0.00645498111179608	0.228315963587523	FALSE	
56	AURKB	38.1448355821857	0.367234885462041	0.136750819389144	2.72024718623288	0.0065233132453578	0.228315963587523	FALSE	
57	AP1S2	25.1259176278185	-0.501279528770588	0.180631440917483	-2.69270162365007	0.0070875666655573	0.24102623045759	FALSE	
58	RPS7	358.227788926222	-0.227102554179779	0.085953997234826	-2.68420786508683	0.00727018891299541	0.24102623045759	FALSE	
59	SCP2	42.7828000177408	0.344289936919447	0.125130226135036	2.68315442329259	0.00729313057763782	0.24102623045759	FALSE	
60	SPTSSA	42.356030577043	0.349705978318033	0.132355757204499	2.67926697175882	0.00737835399359969	0.24102623045759	FALSE	
61	KCNJ3	428.915810371983	0.166778477255603	0.0614352173855228	2.65123116194177	0.00801989308763525	0.243705594580956	FALSE	
62	LACTB	31.6226650988877	0.405708756469305	0.154703485153063	2.66347776198608	0.00773375234757955	0.243705594580956	FALSE	
63	NUDT19	32.2933882765359	-0.477597276745331	0.174057640136296	-2.66623638636877	0.00767057369986012	0.243705594580956	FALSE	
64	RAB12	50.4180433497326	-0.404348164363219	0.150944653332355	-2.64862174676569	0.00808207328967455	0.243705594580956	FALSE	
65	RNASEH2A	85.7737627631972	0.26574293774531	0.0993028437231098	2.6565837819048	0.00789368338129161	0.243705594580956	FALSE	
66	MYL12B	287.88218682235	0.189582039996954	0.0714725633810062	2.63214652716086	0.00848472609939496	0.244612191453264	FALSE	
67	NAA15	37.2926579655204	-0.403332261191336	0.157773285485399	-2.63388318815442	0.00844145238676684	0.244612191453264	FALSE	
68	PLOD1	23.9833418332973	-0.490923769017228	0.181820560256255	-2.62711006296193	0.00861134755626288	0.244612191453264	FALSE	
69	UBE2V2	69.430854160076	0.273944511955442	0.110666934137644	2.62798010993923	0.00858935378145585	0.244612191453264	FALSE	
70	BRMS1	37.4304430226577	0.340959377559076	0.134376690835174	2.59235364197086	0.00953217303281592	0.246627119844706	FALSE	
71	CALR	603.962396934946	-0.246432799391534	0.0938218893109709	-2.59972758321429	0.00932977912641439	0.246627119844706	FALSE	
72	CCT5	116.606792699637	0.216870769199855	0.0843123467100668	2.58802359817375	0.00965283675238129	0.246627119844706	FALSE	
73	CETN3	29.9296495783498	0.363428341925416	0.140914595862319	2.60901492039854	0.00908032830688025	0.246627119844706	FALSE	
74	CHURC1	44.6413358410109	0.328097343062907	0.125725618519459	2.58228840407336	0.00981475272851382	0.246627119844706	FALSE	
75	EEF2	46.6801940112213	-0.395907736010252	0.152688279224704	-2.59601357898549	0.00943123379197234	0.246627119844706	FALSE	
76	RPL10	592.149826845475	0.255017464033536	0.0978605695334888	2.58401320734825	0.00976580545894495	0.246627119844706	FALSE	
77	RPS19	1236.64938508383	0.160654755378451	0.0616408825049293	2.59443385514342	0.00947468425464923	0.246627119844706	FALSE	
78	SNRNP200	26.5983640063055	-0.481770986257191	0.181496930715412	-2.60916813959233	0.00907626336728837	0.246627119844706	FALSE	
79	AGBL5	31.7589334298014	-0.4508178988965	0.164768221396803	-2.56417589639016	0.010342111790384	0.248004916630561	FALSE	
80	GLRX	48.0050808174817	0.320126955713174	0.127230621296019	2.56231741442134	0.0103976242797165	0.248004916630561	FALSE	
81	IER3IP1	60.4833369208852	0.285886016620117	0.111809149114723	2.57264016068558	0.0100926080683049	0.248004916630561	FALSE	
82	NDUFA1	139.134054038781	0.217400363000235	0.0860702147641767	2.5588385943304	0.0105022490205799	0.248004916630561	FALSE	
83	TMEM263	28.4429475025936	-0.483039023278747	0.175480254288687	-2.56584387842993	0.0102925142497652	0.248004916630561	FALSE	
84	EIF4E2	28.2675488950447	0.38127861087345	0.148412918805316	2.55076027527577	0.0107488231538998	0.250805873590996	FALSE	
85	COMMD3	32.5775918316031	0.371291530095212	0.147410855202558	2.53045353685905	0.0113915171373368	0.260451895506566	FALSE	
86	COX6A1	497.452664654628	0.146019278060277	0.0576880658295535	2.52841836376214	0.0114577729115997	0.260451895506566	FALSE	
87	SEC14L1	24.1077076437485	-0.451680979322179	0.180885469343972	-2.52527206608947	0.0115608749536078	0.260451895506566	FALSE	
88	ZBTB20	36.7027899575329	-0.401699582681698	0.165089425876907	-2.51916484741986	0.011763356903629	0.262002040126282	FALSE	
89	CALD1	42.9778373537945	-0.388290043132255	0.149372283439234	-2.50367064487244	0.0122912392287336	0.270683470655257	FALSE	
90	HMGN2	317.3766383301	0.166297596383262	0.0703305773274681	2.49577345957838	0.0125682839107252	0.273709294055794	FALSE	
91	TFPI	39.8779853799445	-0.368068682872022	0.149522044997098	-2.48815235236233	0.0128408711304212	0.276572608962918	FALSE	
92	TXNDC9	35.7937089328329	0.332116103959518	0.139814098115079	2.47241629664697	0.013420313689365	0.285911030773427	FALSE	
93	HDLBP	28.0765695192324	-0.437066772848467	0.17706283085524	-2.46135832719492	0.0138412050362962	0.290123312986463	FALSE	
94	PSME2	92.4770632359568	0.222165170710458	0.0972760369655862	2.45567314328311	0.0140620993539357	0.290123312986463	FALSE	
95	WDR43	37.1558738638764	-0.415982186231401	0.16831538850762	-2.45612898058263	0.0140442740391759	0.290123312986463	FALSE	
96	AL356432.3	39.8088454613936	-0.356830532800496	0.144053833354977	-2.44850953626958	0.0143448632619893	0.292874291598948	FALSE	
97	CTNNB1	165.473623565329	-0.294901276783045	0.120125689786207	-2.43859890696441	0.0147443232085569	0.294886464171137	FALSE	
98	SF3B2	49.9509148018087	-0.34850514649632	0.142052571223984	-2.43925171669554	0.0147177124362656	0.294886464171137	FALSE	
99	CEP250	24.0533683443722	-0.484693519573614	0.184942938981731	-2.42482876557893	0.0153156087933823	0.303218113485145	FALSE	
100	C14orf119	56.9421343927472	0.288233159619175	0.119448041388987	2.39150108553894	0.0167796343413527	0.322772347558883	FALSE	
101	DNASE1	114.183290208581	0.196167201164254	0.0822970454500585	2.39597500254997	0.0165762207559184	0.322772347558883	FALSE	
102	PSMD11	112.536942140109	0.216436678741117	0.0904396527693773	2.39111399786023	0.0167973364545949	0.322772347558883	FALSE	
103	ARF6	77.3599248439308	-0.305796068888257	0.133415292518598	-2.38074140437327	0.017277836129432	0.328782124404725	FALSE	
104	TOR1AIP2	102.343353488368	-0.290179916747804	0.117689372808669	-2.37440024885028	0.0175774849572378	0.331267985732559	FALSE	
105	SEPT11	42.1909628938566	-0.361332244689962	0.149743422760408	-2.36471622178514	0.0180438910401559	0.336819299416243	FALSE	
106	CTSL	32.1700602367645	0.32263771587407	0.140884898199823	2.34265451917089	0.0191471036648007	0.345111883809938	FALSE	
107	MCM7	28.368999945882	-0.409823373098863	0.164123108451781	-2.35157427648485	0.0186941568940157	0.345111883809938	FALSE	
108	MRPS24	27.9855329283263	0.328284346404265	0.150015709274398	2.33968877633148	0.0192998152019306	0.345111883809938	FALSE	
109	MT-ND6	227.276078101845	-0.368363564326316	0.151364177913895	-2.33643559362212	0.0194685506880469	0.345111883809938	FALSE	
110	NME1-NME2	154.236970998802	-0.229819165009252	0.0963030527810618	-2.33497739641595	0.0195446015831139	0.345111883809938	FALSE	
111	TBL1XR1	29.9129852900384	-0.447292107113763	0.179773946033313	-2.34097006121641	0.0192337093860422	0.345111883809938	FALSE	
112	CCT6A	128.032344630282	-0.306576705847831	0.124388468880458	-2.32534284683011	0.0200536349231971	0.350938611155949	FALSE	
113	VRK1	34.5779748035873	0.316548710849251	0.142326947053633	2.3184418870664	0.0204253178174752	0.354279848869481	FALSE	
114	PRDX4	126.543132169828	0.199506948532071	0.0906018231485175	2.31184171476557	0.0207864076661303	0.357380342329959	FALSE	
