"Type","Metric","Value"
"Mimickers","Maximum",7.64880447642724
"Mimickers","Minimum",2.36930152652281
"Mimickers","Mean",4.42837752384008
"Mimickers","Standard Deviation",1.23269099145545
"Reversers","Maximum",-2.32170347422709
"Reversers","Minimum",-7.77160040142577
"Reversers","Mean",-4.37620992582311
"Reversers","Standard Deviation",1.27134183099566
